1,5,15,4
2,5,15,4
3,5,15,4
4,5,15,4
5,5,15,4
7,5,15,4
9,5,15,4
10,5,15,4
11,5,15,4
12,5,15,4
13,5,15,4
14,5,15,4
15,5,15,4
1,5,16,5
2,5,16,5
3,5,16,5
4,5,16,5
5,5,16,5
7,5,16,5
9,5,16,5
10,5,16,5
11,5,16,5
12,5,16,5
13,5,16,5
14,5,16,5
15,5,16,5
1,5,17,6
2,5,17,6
3,5,17,6
4,5,17,6
5,5,17,6
7,5,17,6
9,5,17,6
10,5,17,6
11,5,17,6
12,5,17,6
13,5,17,6
14,5,17,6
15,5,17,6
1,5,18,0
2,5,18,0
3,5,18,0
4,5,18,0
5,5,18,0
7,5,18,0
9,5,18,0
10,5,18,0
11,5,18,0
12,5,18,0
13,5,18,0
14,5,18,0
15,5,18,0
1,5,19,1
2,5,19,1
3,5,19,1
4,5,19,1
5,5,19,1
7,5,19,1
9,5,19,1
10,5,19,1
11,5,19,1
12,5,19,1
13,5,19,1
14,5,19,1
15,5,19,1
1,5,20,2
2,5,20,2
3,5,20,2
4,5,20,2
5,5,20,2
7,5,20,2
9,5,20,2
10,5,20,2
11,5,20,2
12,5,20,2
13,5,20,2
14,5,20,2
15,5,20,2
1,5,21,3
2,5,21,3
3,5,21,3
4,5,21,3
5,5,21,3
7,5,21,3
9,5,21,3
10,5,21,3
11,5,21,3
12,5,21,3
13,5,21,3
14,5,21,3
15,5,21,3
1,5,22,4
2,5,22,4
3,5,22,4
4,5,22,4
5,5,22,4
7,5,22,4
9,5,22,4
10,5,22,4
11,5,22,4
12,5,22,4
13,5,22,4
14,5,22,4
15,5,22,4
1,5,23,5
2,5,23,5
3,5,23,5
4,5,23,5
5,5,23,5
7,5,23,5
9,5,23,5
10,5,23,5
11,5,23,5
12,5,23,5
13,5,23,5
14,5,23,5
15,5,23,5
1,5,24,6
2,5,24,6
3,5,24,6
4,5,24,6
5,5,24,6
7,5,24,6
9,5,24,6
10,5,24,6
11,5,24,6
12,5,24,6
13,5,24,6
14,5,24,6
15,5,24,6
