1,4,7,1
2,4,7,1
3,4,7,1
4,4,7,1
5,4,7,1
6,4,7,1
7,4,7,1
8,4,7,1
9,4,7,1
10,4,7,1
11,4,7,1
12,4,7,1
13,4,7,1
14,4,7,1
15,4,7,1
1,4,8,2
2,4,8,2
3,4,8,2
4,4,8,2
5,4,8,2
6,4,8,2
7,4,8,2
8,4,8,2
9,4,8,2
10,4,8,2
11,4,8,2
12,4,8,2
13,4,8,2
14,4,8,2
15,4,8,2
1,4,9,3
2,4,9,3
3,4,9,3
4,4,9,3
5,4,9,3
6,4,9,3
7,4,9,3
8,4,9,3
9,4,9,3
10,4,9,3
11,4,9,3
12,4,9,3
13,4,9,3
14,4,9,3
15,4,9,3
1,4,10,4
2,4,10,4
3,4,10,4
4,4,10,4
5,4,10,4
6,4,10,4
7,4,10,4
8,4,10,4
9,4,10,4
10,4,10,4
11,4,10,4
12,4,10,4
13,4,10,4
14,4,10,4
15,4,10,4
1,4,11,5
2,4,11,5
3,4,11,5
4,4,11,5
5,4,11,5
6,4,11,5
7,4,11,5
8,4,11,5
9,4,11,5
10,4,11,5
11,4,11,5
12,4,11,5
13,4,11,5
14,4,11,5
15,4,11,5
1,4,12,6
2,4,12,6
3,4,12,6
4,4,12,6
5,4,12,6
6,4,12,6
7,4,12,6
8,4,12,6
9,4,12,6
10,4,12,6
11,4,12,6
12,4,12,6
13,4,12,6
14,4,12,6
15,4,12,6
1,4,13,0
2,4,13,0
3,4,13,0
4,4,13,0
5,4,13,0
6,4,13,0
7,4,13,0
8,4,13,0
9,4,13,0
10,4,13,0
11,4,13,0
12,4,13,0
13,4,13,0
14,4,13,0
15,4,13,0
1,4,14,1
2,4,14,1
3,4,14,1
4,4,14,1
5,4,14,1
6,4,14,1
7,4,14,1
8,4,14,1
9,4,14,1
10,4,14,1
11,4,14,1
12,4,14,1
13,4,14,1
14,4,14,1
15,4,14,1
1,4,15,2
2,4,15,2
3,4,15,2
4,4,15,2
5,4,15,2
6,4,15,2
7,4,15,2
8,4,15,2
9,4,15,2
10,4,15,2
11,4,15,2
12,4,15,2
13,4,15,2
14,4,15,2
15,4,15,2
1,4,16,3
2,4,16,3
3,4,16,3
4,4,16,3
5,4,16,3
6,4,16,3
7,4,16,3
8,4,16,3
9,4,16,3
10,4,16,3
11,4,16,3
12,4,16,3
13,4,16,3
14,4,16,3
15,4,16,3
